cliente_id,nombre,correo,ciudad
1,Maria Gomez,cliente1@correo.com,Bogotá
2,Juan Gomez,cliente2@correo.com,Medellín
3,Maria Perez,cliente3@correo.com,Cali
4,Juan Gomez,cliente4@correo.com,Barranquilla
5,Maria Gomez,cliente5@correo.com,Cartagena
6,Juan Perez,cliente6@correo.com,Bogotá
7,Maria Gomez,cliente7@correo.com,Medellín
8,Juan Gomez,cliente8@correo.com,Cali
9,Maria Perez,cliente9@correo.com,Barranquilla
10,Juan Gomez,cliente10@correo.com,Cartagena
11,Maria Gomez,cliente11@correo.com,Bogotá
12,Juan Perez,cliente12@correo.com,Medellín
13,Maria Gomez,cliente13@correo.com,Cali
14,Juan Gomez,cliente14@correo.com,Barranquilla
15,Maria Perez,cliente15@correo.com,Cartagena
16,Juan Gomez,cliente16@correo.com,Bogotá
17,Maria Gomez,cliente17@correo.com,Medellín
18,Juan Perez,cliente18@correo.com,Cali
19,Maria Gomez,cliente19@correo.com,Barranquilla
20,Juan Gomez,cliente20@correo.com,Cartagena
21,Maria Perez,cliente21@correo.com,Bogotá
22,Juan Gomez,cliente22@correo.com,Medellín
23,Maria Gomez,cliente23@correo.com,Cali
24,Juan Perez,cliente24@correo.com,Barranquilla
25,Maria Gomez,cliente25@correo.com,Cartagena
26,Juan Gomez,cliente26@correo.com,Bogotá
27,Maria Perez,cliente27@correo.com,Medellín
28,Juan Gomez,cliente28@correo.com,Cali
29,Maria Gomez,cliente29@correo.com,Barranquilla
30,Juan Perez,cliente30@correo.com,Cartagena
31,Maria Gomez,cliente31@correo.com,Bogotá
32,Juan Gomez,cliente32@correo.com,Medellín
33,Maria Perez,cliente33@correo.com,Cali
34,Juan Gomez,cliente34@correo.com,Barranquilla
35,Maria Gomez,cliente35@correo.com,Cartagena
36,Juan Perez,cliente36@correo.com,Bogotá
37,Maria Gomez,cliente37@correo.com,Medellín
38,Juan Gomez,cliente38@correo.com,Cali
39,Maria Perez,cliente39@correo.com,Barranquilla
40,Juan Gomez,cliente40@correo.com,Cartagena
41,Maria Gomez,cliente41@correo.com,Bogotá
42,Juan Perez,cliente42@correo.com,Medellín
43,Maria Gomez,cliente43@correo.com,Cali
44,Juan Gomez,cliente44@correo.com,Barranquilla
45,Maria Perez,cliente45@correo.com,Cartagena
46,Juan Gomez,cliente46@correo.com,Bogotá
47,Maria Gomez,cliente47@correo.com,Medellín
48,Juan Perez,cliente48@correo.com,Cali
49,Maria Gomez,cliente49@correo.com,Barranquilla
50,Juan Gomez,cliente50@correo.com,Cartagena
51,Maria Perez,cliente51@correo.com,Bogotá
52,Juan Gomez,cliente52@correo.com,Medellín
53,Maria Gomez,cliente53@correo.com,Cali
54,Juan Perez,cliente54@correo.com,Barranquilla
55,Maria Gomez,cliente55@correo.com,Cartagena
56,Juan Gomez,cliente56@correo.com,Bogotá
57,Maria Perez,cliente57@correo.com,Medellín
58,Juan Gomez,cliente58@correo.com,Cali
59,Maria Gomez,cliente59@correo.com,Barranquilla
60,Juan Perez,cliente60@correo.com,Cartagena
61,Maria Gomez,cliente61@correo.com,Bogotá
62,Juan Gomez,cliente62@correo.com,Medellín
63,Maria Perez,cliente63@correo.com,Cali
64,Juan Gomez,cliente64@correo.com,Barranquilla
65,Maria Gomez,cliente65@correo.com,Cartagena
66,Juan Perez,cliente66@correo.com,Bogotá
67,Maria Gomez,cliente67@correo.com,Medellín
68,Juan Gomez,cliente68@correo.com,Cali
69,Maria Perez,cliente69@correo.com,Barranquilla
70,Juan Gomez,cliente70@correo.com,Cartagena
71,Maria Gomez,cliente71@correo.com,Bogotá
72,Juan Perez,cliente72@correo.com,Medellín
73,Maria Gomez,cliente73@correo.com,Cali
74,Juan Gomez,cliente74@correo.com,Barranquilla
75,Maria Perez,cliente75@correo.com,Cartagena
76,Juan Gomez,cliente76@correo.com,Bogotá
77,Maria Gomez,cliente77@correo.com,Medellín
78,Juan Perez,cliente78@correo.com,Cali
79,Maria Gomez,cliente79@correo.com,Barranquilla
80,Juan Gomez,cliente80@correo.com,Cartagena
81,Maria Perez,cliente81@correo.com,Bogotá
82,Juan Gomez,cliente82@correo.com,Medellín
83,Maria Gomez,cliente83@correo.com,Cali
84,Juan Perez,cliente84@correo.com,Barranquilla
85,Maria Gomez,cliente85@correo.com,Cartagena
86,Juan Gomez,cliente86@correo.com,Bogotá
87,Maria Perez,cliente87@correo.com,Medellín
88,Juan Gomez,cliente88@correo.com,Cali
89,Maria Gomez,cliente89@correo.com,Barranquilla
90,Juan Perez,cliente90@correo.com,Cartagena
91,Maria Gomez,cliente91@correo.com,Bogotá
92,Juan Gomez,cliente92@correo.com,Medellín
93,Maria Perez,cliente93@correo.com,Cali
94,Juan Gomez,cliente94@correo.com,Barranquilla
95,Maria Gomez,cliente95@correo.com,Cartagena
96,Juan Perez,cliente96@correo.com,Bogotá
97,Maria Gomez,cliente97@correo.com,Medellín
98,Juan Gomez,cliente98@correo.com,Cali
99,Maria Perez,cliente99@correo.com,Barranquilla
100,Juan Gomez,cliente100@correo.com,Cartagena
