cliente_id,nombre,correo,ciudad
12,Juan Perez,cliente12@correo.com,Medellin
13,Maria Gomez,cliente13@correo.com,Mendoza
14,Juan Gomez,cliente14@correo.com,Barranquilla
15,Maria Perez,cliente15@correo.com,Lima
16,Juan Gomez,cliente16@correo.com,Merida
17,Maria Gomez,cliente17@correo.com,Medellin
18,Juan Perez,cliente18@correo.com,Mendoza
19,Maria Gomez,cliente19@correo.com,Barranquilla
20,Juan Gomez,cliente20@correo.com,Lima
21,Maria Perez,cliente21@correo.com,Merida
22,Juan Gomez,cliente22@correo.com,Medellin
23,Maria Gomez,cliente23@correo.com,Mendoza
24,Juan Perez,cliente24@correo.com,Barranquilla
25,Maria Gomez,cliente25@correo.com,Lima
26,Juan Gomez,cliente26@correo.com,Merida
27,Maria Perez,cliente27@correo.com,Medellin
28,Juan Gomez,cliente28@correo.com,Mendoza
29,Maria Gomez,cliente29@correo.com,Barranquilla
30,Juan Perez,cliente30@correo.com,Lima
