cliente_id,nombre,correo,ciudad,continente
43,Maria Gomez,cliente43@correo.com,Mendoza,America
44,Juan Gomez,cliente44@correo.com,Barranquilla,America
45,Maria Perez,cliente45@correo.com,Lima,America
46,Juan Gomez,cliente46@correo.com,Merida,America
47,Maria Gomez,cliente47@correo.com,Medellin,America
48,Juan Perez,cliente48@correo.com,Mendoza,America
49,Maria Gomez,cliente49@correo.com,Barranquilla,America
50,Juan Gomez,cliente50@correo.com,Lima,America
51,Maria Perez,cliente51@correo.com,Merida,America
52,Juan Gomez,cliente52@correo.com,Medellin,America
53,Maria Gomez,cliente53@correo.com,Mendoza,America
54,Juan Perez,cliente54@correo.com,Barranquilla,America
55,Maria Gomez,cliente55@correo.com,Lima,America
56,Juan Gomez,cliente56@correo.com,Merida,America
57,Maria Perez,cliente57@correo.com,Medellin,America
58,Juan Gomez,cliente58@correo.com,Mendoza,America
59,Maria Gomez,cliente59@correo.com,Barranquilla,America
60,Juan Perez,cliente60@correo.com,Lima,America
61,Maria Gomez,cliente61@correo.com,Merida,America
62,Juan Gomez,cliente62@correo.com,Medellin,America
63,Maria Perez,cliente63@correo.com,Mendoza,America
64,Juan Gomez,cliente64@correo.com,Barranquilla,America
65,Maria Gomez,cliente65@correo.com,Lima,America
66,Juan Perez,cliente66@correo.com,Merida,America
67,Maria Gomez,cliente67@correo.com,Medellin,America
68,Juan Gomez,cliente68@correo.com,Mendoza,America
69,Maria Perez,cliente69@correo.com,Barranquilla,America
70,Juan Gomez,cliente70@correo.com,Lima,America
71,Maria Gomez,cliente71@correo.com,Merida,America
72,Juan Perez,cliente72@correo.com,Medellin,America
73,Maria Gomez,cliente73@correo.com,Mendoza,America
74,Juan Gomez,cliente74@correo.com,Barranquilla,America
75,Maria Perez,cliente75@correo.com,Lima,America
76,Juan Gomez,cliente76@correo.com,Merida,America
77,Maria Gomez,cliente77@correo.com,Medellin,America
78,Juan Perez,cliente78@correo.com,Mendoza,America
79,Maria Gomez,cliente79@correo.com,Barranquilla,America
80,Juan Gomez,cliente80@correo.com,Lima,America
81,Maria Perez,cliente81@correo.com,Merida,America
82,Juan Gomez,cliente82@correo.com,Medellin,America
83,Maria Gomez,cliente83@correo.com,Mendoza,America
84,Juan Perez,cliente84@correo.com,Barranquilla,America
85,Maria Gomez,cliente85@correo.com,Lima,America
86,Juan Gomez,cliente86@correo.com,Merida,America
87,Maria Perez,cliente87@correo.com,Medellin,America
88,Juan Gomez,cliente88@correo.com,Mendoza,America
89,Maria Gomez,cliente89@correo.com,Barranquilla,America
90,Juan Perez,cliente90@correo.com,Lima,America
91,Maria Gomez,cliente91@correo.com,Merida,America
92,Juan Gomez,cliente92@correo.com,Medellin,America
93,Maria Perez,cliente93@correo.com,Mendoza,America
94,Juan Gomez,cliente94@correo.com,Barranquilla,America
95,Maria Gomez,cliente95@correo.com,Lima,America
96,Juan Perez,cliente96@correo.com,Merida,America
97,Maria Gomez,cliente97@correo.com,Medellin,America
98,Juan Gomez,cliente98@correo.com,Mendoza,America
99,Maria Perez,cliente99@correo.com,Barranquilla,America
100,Juan Gomez,cliente100@correo.com,Lima,Asia
